PMCID	App_version	FDR_Correction_described	Background_gene_set_described	Gene_selection_described	Reproduction_Score
PMC6349697	v6.8	Yes	No	Yes	High
PMC6368841	No	Yes	No	No	High
PMC6381667	No	No	No	No	Medium
PMC6405693	v6.7	Yes	No	Yes	Low
PMC6425008	v6.8	No	No	Yes	Low
PMC6444048	No	Yes	No	Yes	High
PMC6463127	No	No	No	Yes	Medium
PMC6535219	No	Yes	No	Yes	Low
PMC6539328	v6.8	No	No	Yes	Low
PMC6542760	No	No	No	Yes	Low
PMC6557785	No	No	No	Yes	Medium
PMC6561911	v6.8	No	No	Yes	Low
PMC6580941	No	No	No	Yes	Medium
PMC6587650	No	Yes	No	No	High
PMC6591946	No	Yes	No	Yes	Medium
PMC6663624	No	Yes	No	Yes	Low
PMC6582306	No	Yes	No	No	Medium
PMC6333352	v6.8	Yes	No	Yes	Medium
PMC6526186	No	No	No	Yes	Medium
PMC6607402	v6.7	Yes	No	Yes	Medium
